Group,Term,Seq,WBCValue,LYMValue,MONValue,GRAValue,HGBValue,MCHValue,MCHCValue,RBCValue,MCVValue,HCTValue,RDWValue,RDWaValue,PLTValue,MPVValue,Glucose,Weight Pct,EAE score,ID
HICT,16,1162,13.6,10.5,0.7,2.4,14.9,16.5,41.8,9.04,39.4,35.6,15.6,25.6,503,5.3,128,83.33333333,2,HICT 2R1L 
HICT,16,1159,16.3,11.4,1,3.9,14.4,16.3,41.3,8.82,39.5,34.8,16.3,26.6,450,5.6,146,92.55319149,1,HICT 1R2L 
HICT,16,1157,16.7,11.7,0.8,4.2,15.2,16.5,41.1,9.21,40.2,37.1,16,27.2,495,5.3,123,78.87700535,3.5,HICT 2R2L 
HICT,16,1160,10,6.6,0.6,2.8,13.1,16.1,40.7,8.12,39.6,32.2,15.6,25.1,297,5.4,149,87.23404255,2,HICT Full 
NT,17,,,,,,,,,,,,,,,,,87.07070707,3,NT 1R
NT,17,,,,,,,,,,,,,,,,,82.25352113,3,NT 1L
NT,17,,,,,,,,,,,,,,,,,92.95698925,2,NT 2R
NT,17,,,,,,,,,,,,,,,,,74.90990991,2,NT 2L
NT,17,,,,,,,,,,,,,,,,,92.8021978,2,NT 3R
NT,17,,,,,,,,,,,,,,,,,88.94472362,2,NT 1R1L
NT,17,,,,,,,,,,,,,,,,,93.04123711,2,NT 2R1L
NT,17,,,,,,,,,,,,,,,,,98.47715736,2,NT 1R2L
NT,17,,,,,,,,,,,,,,,,,88.1,2,NT 2R2L
NT,17,,,,,,,,,,,,,,,,,84.14141414,2,NT Full
HICT,17,,,,,,,,,,,,,,,,,93.71428571,2,HICT 1R
HICT,17,,,,,,,,,,,,,,,,,84.6,2,HICT 1L
HICT,17,,,,,,,,,,,,,,,,,93.15789474,2,HICT 2R
HICT,17,,,,,,,,,,,,,,,,,94.78723404,2,HICT 2L
HICT,17,,,,,,,,,,,,,,,,,83.8974359,2,HICT 1R1L
HICT,17,,,,,,,,,,,,,,,,,83.59375,3,HICT 2R1L
HICT,17,,,,,,,,,,,,,,,,,92.55319149,1,HICT 1R2L
HICT,17,,,,,,,,,,,,,,,,,79.30481283,2.5,HICT 2R2L
HICT,17,,,,,,,,,,,,,,,,,87.23404255,1,HICT full
NT,19,,,,,,,,,,,,,,,,,91.81818182,2,NT 1R
NT,19,,,,,,,,,,,,,,,,,86.00938967,2,NT 1L
NT,19,,,,,,,,,,,,,,,,,95.69892473,2,NT 2R
NT,19,,,,,,,,,,,,,,,,,78.15315315,2,NT 2L
NT,19,,,,,,,,,,,,,,,,,96.59340659,2,NT 3R
NT,19,,,,,,,,,,,,,,,,,92.11055276,2,NT 1R1L
NT,19,,,,,,,,,,,,,,,,,94.79381443,1,NT 2R1L
NT,19,,,,,,,,,,,,,,,,,91.87817259,2.5,NT 1R2L
NT,19,,,,,,,,,,,,,,,,,89.9,2,NT 2R2L
NT,19,,,,,,,,,,,,,,,,,87.47474747,2,NT Full
HICT,19,,,,,,,,,,,,,,,,,97.6,1,HICT 1R
HICT,19,,,,,,,,,,,,,,,,,90.5,2,HICT 1L
HICT,19,,,,,,,,,,,,,,,,,94.63157895,2,HICT 2R
HICT,19,,,,,,,,,,,,,,,,,96.54255319,1,HICT 2L
HICT,19,,,,,,,,,,,,,,,,,94.97435897,2,HICT 1R1L
HICT,19,,,,,,,,,,,,,,,,,90.72916667,2.5,HICT 2R1L
HICT,19,,,,,,,,,,,,,,,,,93.08510638,2,HICT 1R2L
HICT,19,,,,,,,,,,,,,,,,,88.55614973,2.5,HICT 2R2L
HICT,19,,,,,,,,,,,,,,,,,94.04255319,1,HICT full
